genus	B11	CA47	CIMBL100	CIMBL101	CIMBL102	CIMBL105	CIMBL106	CIMBL108	CIMBL109	CIMBL11	CIMBL111	CIMBL113	CIMBL114	CIMBL115	CIMBL116	CIMBL119	CIMBL12	CIMBL120	CIMBL121	CIMBL122	CIMBL123	CIMBL124	CIMBL125	CIMBL127	CIMBL129	CIMBL133	CIMBL140	CIMBL147	CIMBL149	CIMBL15	CIMBL150	CIMBL151	CIMBL152	CIMBL153	CIMBL156	CIMBL157	CIMBL16	CIMBL18	CIMBL19	CIMBL2	CIMBL21	CIMBL22	CIMBL23	CIMBL25	CIMBL27	CIMBL28	CIMBL29	CIMBL3	CIMBL32	CIMBL38	CIMBL4	CIMBL40	CIMBL42	CIMBL43	CIMBL46	CIMBL47	CIMBL48	CIMBL49	CIMBL5	CIMBL50	CIMBL51	CIMBL52	CIMBL53	CIMBL54	CIMBL55	CIMBL56	CIMBL58	CIMBL59	CIMBL6	CIMBL60	CIMBL62	CIMBL63	CIMBL66	CIMBL68	CIMBL69	CIMBL7	CIMBL70	CIMBL71	CIMBL74	CIMBL75	CIMBL77	CIMBL79	CIMBL81	CIMBL82	CIMBL83	CIMBL84	CIMBL86	CIMBL87	CIMBL88	CIMBL89	CIMBL90	CIMBL91	CIMBL92	CIMBL93	CIMBL94	CIMBL96	CIMBL98	CIMBL99	CML114	CML115	CML116	CML118	CML121	CML122	CML130	CML134	CML139	CML162	CML163	CML165	CML169	CML170	CML171	CML172	CML189	CML191	CML192	CML20	CML290	CML298	CML304	CML31	CML32	CML323	CML324	CML325	CML327	CML338	CML360	CML361	CML411	CML415	CML422	CML423	CML426	CML431	CML432	CML433	CML454	CML470	CML479	CML480	CML486	CML493	CML496	CML50	CML69	GEMS31	GEMS32	JIAO51	S37	SW92E114
A_Archaeoglobus	2	0	1	0	0	0	1	2	0	0	0	1	0	0	1	1	0	2	2	2	0	0	1	3	0	1	0	0	0	0	0	0	2	1	0	2	0	1	0	0	2	1	2	0	0	0	3	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	7	0	0	0	2	2	0	0	1	0	2	1	5	0	2	0	9	0	2	2	2	0	3	3	0	1	0	0	4	0	0	2	0	0	1	0	0	0	1	0	1	0	4	0	0	0	0	1	1	0	1	0	2	1	2	1	2	0	3	1	2	1	1	1	3	1	0	0	0	1	2	0	0	0	0	6	0	1	3	1	3	1	1
A_Methanocaldococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A_Methanolobus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
A_Methanosarcina	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
A_Thermococcus	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	7	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
B_Pseudomonas	10	95	1837	6	15	30	7	21	48	36	52	35	53	28	25	109	13	44	52	81	8	111	12	16	140	152	17	309	20	47	53	36	402	226	41	5	55	44	66	32	418	5	12	37	45	42	20	12	36	64	14	48	28	39	732	18	39	53	16	79	33	12	28	28	76	12	128	14	71	21	281	54	54	25	85	5	82	70	136	26	22	96	26	14	45	135	93	50	10	42	27	34	407	24	9	16	151	39	136	8	53	82	9	72	11	42	23	43	73	20	13	5	1689	323	47	62	46	7	58	9	142	58	2	29	14	68	25	44	9	2	125	20	28	7	66	12	11	85	22	31	56	171	43	280	10	29	64	113	86	10	17	15
B_Moraxella	2	23	1161	8	14	22	164	1941	43	0	18	9	8	174	4	26	311	127	43	7	42	2	3	168	21	1983	9	65	2	20	6	37	17	78	81	8	15	2	24	10	4	9	6	2	6	8	18	2	86	23	6	1	25	3	40	7	10	70	13	17	26	5	147	1	10	7	20	4	0	3	389	17	15	1	62	20	822	10	8	11	42	14	39	1	27	1360	30	9	16	25	1218	5	184	18	8	21	31	6	52	3	19	18	13	70	1	3	10	2	7	13	3	21	17	0	9	13	26	7	0	118	4	2	1	10	14	16	2	242	5	6	1	1	7	3	4	34	9	63	7	4	1060	70	9	15	3	1260	23	89	3	99	42	14
B_Acinetobacter	1	54	86	5	10	88	13	54	11	9	18	25	18	31	30	60	41	46	7	11	15	29	7	50	27	323	60	218	1	18	45	53	204	24	23	21	61	7	30	17	21	9	26	20	7	12	17	5	11	7	15	37	2	33	460	14	9	26	13	22	20	64	33	13	10	10	13	10	16	16	217	25	41	3	32	20	57	8	22	17	8	57	12	16	133	323	27	18	6	42	84	14	116	11	34	70	40	36	100	7	185	10	6	45	10	9	22	14	19	35	33	22	62	18	13	66	15	2	5	23	8	44	6	6	25	36	5	63	15	14	4	4	10	4	29	75	10	67	8	16	112	75	20	10	21	87	33	24	65	91	15	15
B_Cutibacterium	12	29	91	14	18	10	32	386	7	1	19	29	1	42	9	31	60	81	6	17	21	17	17	69	10	40	12	581	8	8	23	98	14	26	67	10	6	13	15	15	6	4	26	14	9	6	29	6	11	6	4	30	4	4	34	4	4	14	5	25	9	24	63	22	10	4	1	8	4	2	38	9	4	6	27	20	224	23	7	10	7	35	7	5	24	396	26	17	12	19	290	9	106	2	11	14	81	15	96	16	34	58	5	10	2	14	4	7	16	0	1	5	10	4	12	13	37	5	2	56	11	14	16	0	7	37	11	25	21	7	12	7	80	8	7	30	7	23	17	0	218	123	9	9	5	492	16	38	4	64	9	36
B_Corynebacterium	3	23	30	14	6	6	37	133	3	10	16	17	20	17	7	29	31	85	3	7	19	10	5	73	6	29	4	153	7	6	34	138	36	21	35	7	7	14	30	24	7	6	19	11	10	4	12	7	9	8	5	13	3	7	59	11	9	7	11	26	13	24	27	15	11	3	14	3	8	22	43	17	8	6	44	178	93	15	3	12	6	20	4	8	14	172	16	3	5	6	120	7	106	10	7	10	58	13	79	8	26	27	6	39	7	8	5	11	36	3	7	16	26	23	5	8	30	39	1	19	6	9	12	16	6	16	11	1977	14	7	14	17	59	14	7	31	6	22	9	5	57	90	20	9	4	189	15	20	6	14	15	9
B_Deinococcus	5	14	5	0	3	6	193	1032	2	2	2	0	0	45	1	5	257	146	1	0	2	4	0	42	2	3	0	8	0	5	71	16	2	2	9	2	9	7	0	1	0	0	6	1	5	1	0	2	0	0	5	2	4	2	16	4	2	2	0	6	0	3	38	0	2	0	5	2	0	0	7	3	1	0	5	2	318	1	5	1	1	3	0	1	6	679	1	0	1	0	690	1	5	1	1	0	10	2	30	0	6	0	1	3	0	0	2	0	2	6	0	0	15	0	0	1	2	37	5	91	3	1	2	1	1	25	6	34	2	6	0	1	3	0	3	1	6	3	4	4	176	28	10	2	2	627	4	7	0	37	5	4
B_Chryseobacterium	0	25	12	2	3	1	45	483	2	0	4	4	4	50	0	4	188	23	16	1	3	3	0	82	2	548	5	8	2	2	1	52	8	6	3	3	0	0	24	1	2	13	1	0	5	0	13	0	2	0	1	4	5	2	5	0	3	8	0	10	3	1	74	0	3	0	2	2	4	0	20	0	2	7	3	5	474	3	0	6	1	17	2	5	4	449	4	0	0	1	712	3	1	1	2	10	4	0	35	0	3	2	3	10	0	1	3	2	0	0	2	9	0	0	3	3	1	5	6	79	2	0	0	1	0	1	0	18	3	0	0	1	6	1	4	1	1	10	1	2	89	1	0	7	8	611	10	4	2	31	7	2
B_Micrococcus	2	11	9	3	2	3	17	188	3	1	8	1	1	16	0	1	95	23	5	1	2	1	0	46	1	4	1	23	4	3	9	52	18	19	17	5	0	13	6	0	3	4	0	0	3	2	5	0	3	0	4	7	4	12	18	0	2	6	4	4	2	14	20	1	6	0	2	0	3	0	44	2	3	0	9	1	163	0	0	0	2	11	3	2	6	358	7	12	3	1	268	0	25	2	1	6	13	2	45	2	10	6	3	1	0	2	0	5	0	1	0	12	14	6	0	1	7	12	0	37	0	0	4	1	1	2	6	359	3	2	8	0	1	0	1	5	1	66	2	6	532	20	7	4	19	566	11	7	10	18	6	1
B_Streptococcus	5	14	13	1	8	4	30	143	3	2	4	11	9	34	5	6	64	67	7	7	8	2	3	29	12	7	7	31	3	11	7	73	2	20	7	9	7	7	6	9	0	2	6	3	0	3	3	1	3	2	4	15	18	1	18	13	1	2	10	29	12	2	42	7	0	5	1	6	12	2	33	0	5	2	15	11	58	2	1	9	2	2	3	4	21	275	9	4	9	3	119	9	39	4	5	3	21	2	14	8	12	2	2	13	2	2	7	9	6	3	5	7	11	0	7	12	9	2	5	23	3	5	0	3	2	11	6	5	7	0	5	4	15	6	7	21	2	14	5	0	90	78	2	8	0	86	5	8	5	48	1	24
B_Staphylococcus	1	16	22	5	6	4	9	41	3	1	4	15	31	3	9	19	21	7	4	4	5	2	5	97	6	17	8	99	6	5	5	11	13	6	6	5	1	42	15	4	6	0	7	8	2	3	10	4	12	7	10	6	4	2	17	3	7	6	6	12	14	13	13	13	4	1	0	4	2	1	80	1	4	9	39	7	47	4	15	8	0	4	4	3	5	83	4	3	3	2	47	8	20	4	3	3	18	3	76	1	13	58	3	0	4	5	1	12	3	4	5	30	26	22	2	8	8	7	12	17	8	0	1	6	10	1	9	219	5	2	1	1	14	2	3	8	2	10	6	10	29	50	10	13	0	48	4	6	9	11	2	8
B_Bacillus	3	6	28	2	4	10	15	32	7	11	7	6	8	46	6	11	86	30	6	14	3	5	6	27	19	25	0	24	12	11	5	36	11	0	14	2	4	21	28	8	4	5	4	8	4	9	4	4	3	14	7	1	157	6	10	28	9	2	4	3	13	4	50	5	4	4	6	2	2	5	17	3	13	5	6	5	49	6	6	5	7	10	9	5	12	94	8	3	3	8	30	13	46	6	0	4	40	9	2	5	11	13	3	14	6	8	4	10	11	1	3	7	18	14	28	8	15	1	12	36	9	4	4	8	0	3	15	14	9	4	4	3	16	3	11	5	2	10	6	4	24	9	8	9	0	42	3	8	252	40	5	6
B_Mycolicibacterium	0	6	1	0	0	0	0	8	1	1	2	2	3	0	0	5	2	1	0	0	0	0	0	0	0	1	3	15	1	0	6	8	0	13	8	1	2	3	0	0	0	2	2	0	0	1	0	0	4	0	3	0	4	2	1	2	0	1	0	2	0	0	1	2	0	0	0	0	0	0	3	1	2	0	0	2	5	0	0	0	1	0	0	0	0	23	0	0	0	3	12	0	0	2	2	1	0	0	4	0	1	0	0	0	3	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	1	0	2	3071	0	3	0	2	0	2	1	0	0	0	1	3	2	2	0	0	5	1	0	0	1	12	2	3	2	0	1	2
B_Yersinia	0	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3704	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0
B_Sphingomonas	6	6	11	2	3	14	8	83	3	0	14	1	6	5	4	10	14	16	6	2	0	4	5	21	45	42	1	44	1	20	18	76	23	5	9	1	6	2	1	0	4	0	3	5	7	0	6	3	1	3	2	0	5	2	5	2	7	3	6	2	4	13	14	4	2	2	4	0	2	5	39	1	6	3	15	0	101	5	2	3	7	8	3	1	13	245	22	2	0	3	48	0	58	5	9	1	26	25	12	2	5	1	1	11	1	1	5	0	14	6	3	3	8	1	0	5	0	2	0	2	6	11	1	1	6	5	1	103	6	0	1	2	4	0	6	7	0	16	0	4	40	22	5	2	1	62	4	23	3	115	5	6
B_Vibrio	6	10	15	3	3	2	9	12	5	4	1	9	5	13	15	6	15	19	3	7	7	2	1	5	3	18	3	4	5	6	2	19	7	3	7	2	4	8	2	10	7	1	3	1	2	7	2	6	1	10	16	6	213	1	7	1	10	7	3	5	2	4	7	2	3	3	13	3	4	3	13	3	15	0	11	0	17	5	9	5	0	3	7	2	13	9	7	1	6	15	11	2	5	7	4	0	11	8	3	1	9	12	0	5	3	14	4	5	4	1	7	1	26	5	6	6	2	3	7	4	8	3	6	8	3	19	6	6	5	27	2	17	4	3	23	3	3	9	3	3	7	7	2	5	1	2	9	27	10	8	7	3
B_Lactobacillus	4	7	36	5	4	2	2	42	10	4	3	5	3	26	5	2	57	44	1	4	2	2	8	19	7	6	5	21	3	3	2	34	8	8	18	3	0	9	2	1	3	7	5	5	3	6	9	2	2	5	14	0	1	2	20	16	3	2	4	6	4	0	21	4	4	0	5	2	3	5	16	3	6	2	6	5	38	11	3	11	2	13	6	2	3	33	15	7	0	0	28	2	25	4	4	4	17	5	9	1	11	10	1	17	3	7	0	1	9	3	9	2	1	1	14	8	0	2	1	35	4	6	0	13	8	10	0	3	4	4	13	3	5	5	8	1	3	5	3	6	5	11	2	3	2	18	9	3	1	21	2	4
B_Actinomyces	1	8	7	1	5	0	18	20	2	2	1	0	1	59	3	5	15	43	0	0	0	0	5	109	2	6	76	1	2	2	4	42	1	2	2	0	65	2	1	0	36	5	6	0	50	1	35	16	58	10	15	0	8	2	5	6	0	2	3	8	34	0	11	27	0	57	1	4	38	2	24	1	2	2	4	5	9	0	19	12	0	4	0	0	4	50	2	1	0	8	24	1	7	1	2	68	134	2	11	0	1	0	1	4	0	5	3	0	0	0	3	0	6	2	0	1	0	3	0	5	1	1	0	0	1	2	1	4	1	0	0	0	4	1	5	1	1	1	1	13	17	42	5	0	3	57	5	5	2	12	0	4
B_Streptomyces	2	0	4	1	5	1	5	14	0	5	5	4	5	6	1	3	11	13	4	0	1	1	4	4	4	6	1	9	2	3	5	6	1	9	2	0	6	5	0	3	3	0	3	0	0	1	3	2	2	1	1	7	4	82	2	13	2	4	0	11	2	5	3	1	1	12	5	1	1	3	5	1	45	3	3	1	51	6	0	3	0	3	4	1	3	20	2	5	3	85	11	6	6	3	7	3	11	5	5	0	11	1	1	4	1	13	3	2	10	2	1	3	2	0	5	3	3	2	3	5	4	2	0	14	2	4	2	7	3	4	6	1	1	3	85	3	1	3	1	67	8	10	2	4	3	12	8	34	1	3	1	1
B_Paracoccus	0	3	4	0	1	22	1	108	0	0	0	1	0	18	0	1	18	12	0	3	12	1	0	21	0	32	3	17	0	0	1	8	9	3	9	1	1	1	0	1	0	0	5	0	5	0	1	6	7	0	0	0	3	0	4	0	0	0	0	2	3	10	7	3	2	0	0	1	0	1	6	0	0	11	3	1	158	0	0	20	0	0	0	1	2	113	0	0	10	2	104	1	8	1	18	3	2	0	10	0	4	0	0	9	0	0	2	0	5	1	4	3	4	0	0	3	0	1	0	8	0	2	1	0	0	1	1	113	2	0	0	0	2	0	4	0	1	6	0	1	73	17	1	0	0	274	4	9	0	3	1	1
B_Kocuria	0	7	6	1	0	0	2	20	0	1	1	17	0	6	2	5	63	17	0	1	3	0	0	10	2	4	0	1	1	0	0	11	9	63	15	0	0	9	25	0	0	0	2	0	0	1	2	1	0	1	0	0	0	0	12	0	5	2	3	1	0	6	8	0	6	0	1	2	0	0	23	1	0	0	3	0	85	2	0	2	3	4	0	0	0	33	6	1	0	1	85	2	0	1	6	7	2	1	41	3	2	4	0	1	0	1	0	0	0	8	3	6	0	1	0	0	6	0	0	19	0	0	0	6	1	0	1	64	0	0	0	0	0	3	3	8	5	7	0	2	20	6	9	1	0	246	3	9	1	0	0	3
B_Chroococcidiopsis	0	0	8	0	0	2	0	12	1	1	0	1	3	0	0	1	0	3	0	4	2	3	1	9	0	2	0	6	1	1	1358	9	0	9	3	3	0	5	4	0	0	0	2	2	4	1	0	2	0	5	1	0	0	0	9	0	2	0	0	32	1	0	0	3	2	1	0	0	0	1	7	1	3	1	2	1	1	1	0	2	0	0	2	0	2	15	5	0	3	0	15	0	15	2	0	0	2	1	7	2	0	2	0	9	1	1	0	2	60	0	0	2	0	0	0	2	0	0	1	4	1	1	1	0	0	1	0	4	0	0	2	0	3	1	0	1	1	0	9	0	36	2	5	0	0	14	0	0	0	3	4	0
B_Brevibacterium	6	3	4	1	8	1	0	11	4	10	10	6	7	13	5	3	13	11	7	6	1	4	2	19	2	10	1	29	2	1	2	15	3	1	12	2	1	9	0	4	3	14	3	3	4	6	7	4	1	4	8	4	1	2	4	2	3	3	3	4	4	6	6	5	6	5	11	2	2	5	9	0	3	2	9	2	11	4	10	3	4	7	7	1	4	7	1	2	2	6	12	9	38	5	1	1	10	1	5	3	5	2	3	7	1	13	4	2	1	1	4	8	0	7	0	11	1	8	2	6	4	7	4	4	8	3	4	4	5	3	2	3	3	2	2	5	2	1	0	3	19	8	1	6	1	11	5	7	10	9	3	5
B_Hydrogenophaga	0	4	4	2	5	3	1	6	8	15	1	0	11	1	8	3	40	5	8	10	3	5	1	15	5	4	3	1	2	4	4	16	0	0	10	2	4	5	6	2	5	2	4	2	5	7	7	5	0	3	46	7	3	6	30	3	6	2	9	3	10	9	6	14	3	2	2	7	7	28	8	8	2	10	1	1	18	13	14	6	3	3	4	4	5	0	1	1	15	2	14	7	0	8	4	2	21	0	9	1	6	0	0	2	7	7	8	4	2	2	4	0	7	1	5	38	7	2	17	15	14	5	8	3	1	3	4	8	13	7	10	4	5	0	6	12	1	1	3	1	7	2	5	12	1	64	8	10	16	8	8	6
B_Sphingobium	4	7	10	1	1	3	5	19	5	2	5	1	2	21	0	3	19	49	2	2	3	0	0	34	3	4	0	10	0	6	1	119	10	1	1	5	2	5	1	2	3	0	1	0	2	2	1	2	2	5	0	2	10	1	3	23	0	1	3	1	2	0	39	14	0	0	0	1	0	0	27	0	7	0	6	1	15	4	0	4	3	8	1	4	3	45	4	1	0	3	20	2	23	3	4	2	11	10	2	2	6	2	1	2	0	1	1	1	2	0	0	1	4	2	0	2	4	2	0	12	3	2	2	0	5	1	1	95	5	4	0	0	6	1	5	1	2	3	2	5	16	0	1	4	1	51	4	4	3	41	1	4
B_Dermacoccus	0	0	0	0	0	0	8	236	0	0	0	4	0	3	0	0	83	65	2	0	0	0	0	26	0	0	0	6	2	1	2	6	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	24	0	3	0	0	0	0	0	0	0	0	0	2	0	101	0	0	0	0	2	1	0	0	324	0	0	0	2	105	0	0	0	0	0	2	0	9	0	0	0	6	1	0	1	0	0	0	0	0	0	0	0	3	0	12	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	6	0	8	0	0	94	2	0	0	0	93	0	4	0	12	0	0
B_Rhodococcus	1	3	1	0	0	0	3	28	1	0	0	0	0	14	0	0	0	5	0	0	0	1	2	1	0	1	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	1	1	1	0	4	1	4	0	0	0	1	0	0	0	2	0	30	1	2	0	21	3	0	0	0	0	1	0	1	82	0	0	0	129	27	1	4	0	0	0	2	0	1	0	9	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	12	1	1	0	0	0	7	0	4	0	0	0	0	71	1	0	0	0	23	15	2	0	2	0	21	0	2	2	9	0	4
B_Brevundimonas	0	1	4	1	1	0	1	31	1	0	3	0	1	0	0	4	2	2	8	1	1	3	1	8	4	144	0	131	2	0	4	32	21	2	3	2	0	4	1	2	0	0	0	0	1	0	0	4	11	7	0	0	3	3	7	0	0	1	0	2	1	0	5	0	13	0	2	0	1	7	61	0	1	2	0	0	2	1	0	1	1	0	2	1	1	9	1	1	0	1	22	0	5	0	1	0	2	8	12	0	1	2	0	14	1	2	1	5	42	3	0	1	3	1	6	3	3	8	0	2	1	0	0	0	1	1	0	127	1	0	0	2	0	1	2	2	0	1	1	1	24	0	3	1	2	48	4	1	3	5	0	5
B_Ralstonia	1	2	0	0	1	0	0	0	0	1	0	0	1	0	1	2	0	0	3	0	0	0	2	1	4	4	1	5	1	0	1	1	0	40	1	0	0	0	5	0	0	0	1	0	0	0	2	0	4	0	5	1	2	1	0	4	0	13	1	8	0	0	1	0	0	1	8	1	2	1	3	3	0	0	1	0	0	0	6	0	0	0	3	0	2	1	3	2	0	1	1	3	5	3	2	0	0	4	12	0	1	0	0	13	3	2	0	0	1	1	2	0	1	2	12	0	0	0	0	0	2	0	2	4	3	4	1	2	0	0	0	0	0	4	1	1	5	24	2	4	1	0	0	1	2	0	3	5	0	0	1	2
B_Lawsonella	0	17	1	3	2	0	0	12	0	0	0	12	4	6	1	7	2	9	0	0	7	0	1	0	6	5	3	64	0	1	2	11	0	2	37	0	4	8	3	0	2	0	0	2	17	1	2	0	0	0	1	0	0	0	11	1	0	1	2	3	0	6	0	6	1	5	0	0	0	2	22	1	2	4	5	1	12	1	2	5	3	5	0	0	2	12	2	1	14	0	14	10	16	0	0	0	7	0	27	3	33	0	3	0	0	0	1	0	0	0	7	2	0	0	0	4	0	0	0	8	0	1	0	0	3	13	4	22	5	10	0	0	8	0	0	5	1	2	1	0	3	16	3	2	0	16	4	3	4	5	2	12
B_Haemophilus	0	6	4	0	2	0	6	53	1	1	0	0	7	2	2	0	3	4	0	4	0	0	0	13	1	5	1	15	0	1	3	1	3	3	4	2	0	6	0	0	1	4	2	3	4	1	4	1	0	0	0	1	0	0	8	1	1	0	0	1	0	7	11	1	0	0	0	1	0	1	9	2	2	0	3	34	17	1	3	9	2	1	0	1	0	42	1	0	0	2	19	0	10	0	0	0	13	2	19	2	5	6	0	0	1	3	1	5	2	1	2	1	2	0	0	2	7	1	0	3	0	0	0	0	2	3	0	336	3	5	3	0	15	0	1	4	0	1	0	1	7	21	1	1	0	35	0	2	6	4	1	2
B_Escherichia	0	3	18	1	1	2	4	4	0	2	1	2	4	2	4	2	1	2	3	2	0	4	2	5	0	5	3	12	2	6	1	12	7	6	2	1	1	6	6	1	8	0	0	1	1	1	1	3	1	3	2	8	1	1	10	3	2	3	1	5	11	6	9	11	2	4	6	1	2	1	4	2	5	3	1	2	4	2	6	4	1	4	0	1	0	17	5	2	3	4	6	2	41	3	1	0	2	4	12	1	1	2	3	5	1	5	2	2	2	3	0	0	7	8	1	3	0	0	6	1	4	2	0	42	0	4	2	4	1	8	0	3	5	2	11	1	2	8	2	5	6	5	6	2	2	2	2	1	2	6	0	1
B_Methylobacterium	0	0	11	0	1	3	4	7	0	1	4	0	2	1	0	16	2	13	2	2	0	2	1	5	10	19	0	3	0	9	2	10	8	2	3	2	0	2	1	0	1	1	1	0	0	0	3	1	5	1	0	0	3	1	7	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	184	9	5	4	6	1	125	1	0	0	0	7	0	0	0	73	1	0	0	1	14	0	5	0	0	2	8	31	2	1	0	0	0	1	0	2	0	2	4	0	0	8	0	0	0	0	5	1	0	2	1	1	0	0	12	0	0	25	4	1	0	0	0	2	4	4	1	0	1	2	16	0	0	0	0	19	0	10	0	9	0	2
B_Burkholderia	0	0	3	0	1	1	1	0	0	0	0	0	0	2	0	2	1	0	1	0	1	0	0	1	0	9	1	0	0	0	0	25	2	1	0	0	0	0	0	0	1	0	0	1	0	0	4	0	2	0	0	2	0	8	1	0	0	5	2	2	0	1	5	1	0	0	0	1	1	0	0	0	14	0	5	0	1	2	1	0	0	0	0	2	0	2	3	0	0	13	4	0	12	0	0	0	0	2	2	0	3	0	3	0	0	1	1	0	342	0	0	1	1	0	4	2	0	0	0	1	0	0	0	206	0	5	0	1	0	2	0	3	4	2	5	0	0	7	0	4	3	2	0	1	0	10	3	3	0	1	0	0
B_Leptotrichia	0	12	3	0	2	0	9	20	0	0	0	2	0	3	0	1	8	19	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	2	0	4	2	0	0	0	0	1	0	0	6	0	0	0	1	0	0	0	0	13	0	0	2	23	2	0	13	0	1	0	1	1	0	0	34	0	0	0	0	1	17	1	0	8	0	0	0	0	0	87	0	0	4	0	12	1	0	3	0	0	0	0	16	0	0	3	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	11	1	0	0	0	45	0	0	0	5	0	0
B_Massilia	0	0	8	0	0	5	0	7	0	0	0	9	0	5	5	1	1	9	13	0	0	0	0	10	0	175	1	3	4	3	4	1	2	2	5	0	0	4	0	3	4	1	2	0	3	3	0	15	17	0	1	0	0	5	6	1	0	0	1	1	6	4	0	0	2	0	2	4	0	7	9	0	2	22	1	1	2	3	27	0	2	2	3	0	1	30	0	1	0	0	19	3	0	0	0	0	4	1	26	1	8	1	14	3	10	0	0	9	0	0	0	0	0	0	1	3	4	0	12	2	0	0	18	0	8	2	0	31	0	1	0	0	0	1	2	12	4	0	43	0	6	6	0	2	1	2	2	4	5	0	9	0
B_Roseomonas	1	3	6	0	2	0	10	25	2	0	1	8	0	4	0	0	2	83	0	0	0	0	2	9	2	12	0	4	0	1	0	1	2	7	8	3	0	2	23	3	0	1	0	0	0	0	0	2	3	1	0	0	3	9	7	0	0	2	1	0	1	1	0	0	4	1	0	0	0	0	9	0	1	0	2	1	12	0	0	0	0	1	1	1	0	27	0	0	0	2	13	6	1	1	1	0	2	1	1	1	0	1	0	4	1	3	0	0	0	0	0	0	1	3	0	1	0	0	0	5	1	0	0	0	1	4	0	14	0	1	1	0	0	0	0	0	2	8	1	4	13	3	5	4	0	31	1	4	0	6	2	0
